iter	Passed	Remaining
176	2106	9796
177	2117	9779
178	2128	9763
179	2139	9744
180	2152	9738
181	2162	9720
182	2172	9699
183	2182	9679
184	2192	9658
185	2201	9636
186	2212	9618
187	2221	9597
188	2232	9578
189	2242	9560
190	2255	9553
191	2265	9534
192	2274	9511
193	2284	9491
194	2295	9478
195	2305	9458
196	2316	9441
197	2327	9425
198	2340	9420
199	2353	9412
200	2363	9393
201	2372	9373
202	2382	9353
203	2393	9337
204	2402	9315
205	2411	9296
206	2422	9279
207	2431	9258
208	2441	9240
209	2450	9219
210	2460	9200
211	2469	9180
212	2479	9161
213	2488	9141
214	2498	9121
215	2508	9104
216	2517	9085
217	2528	9068
218	2538	9051
219	2547	9032
220	2557	9016
221	2571	9012
222	2582	8998
223	2593	8986
224	2603	8966
225	2612	8946
226	2621	8927
227	2632	8912
228	2641	8894
229	2651	8875
230	2660	8857
231	2670	8841
232	2679	8822
233	2689	8802
234	2698	8784
235	2707	8765
236	2716	8746
237	2725	8727
238	2737	8716
239	2750	8710
240	2764	8706
241	2774	8689
242	2784	8674
243	2793	8656
244	2803	8640
245	2812	8621
246	2822	8603
247	2831	8587
248	2841	8569
249	2851	8553
250	2860	8536
251	2870	8519
252	2880	8505
253	2889	8487
254	2899	8471
255	2909	8454
256	2918	8437
257	2928	8422
258	2938	8407
259	2949	8395
260	2963	8390
261	2972	8374
262	2983	8360
263	2992	8343
264	3002	8326
265	3011	8309
266	3020	8291
267	3029	8275
268	3039	8258
269	3048	8242
270	3058	8227
271	3068	8212
272	3077	8195
273	3087	8180
274	3097	8165
275	3106	8149
276	3116	8134
277	3126	8119
278	3135	8102
279	3147	8094
280	3160	8087
281	3171	8074
282	3182	8062
283	3193	8049
284	3226	8094
285	3242	8094
286	3256	8089
287	3265	8073
288	3275	8059
289	3285	8043
290	3295	8028
291	3305	8013
292	3315	7999
293	3324	7984
294	3334	7969
295	3344	7954
296	3354	7940
297	3365	7927
298	3378	7921
299	3389	7909
300	3399	7895
301	3410	7882
302	3419	7866
303	3430	7853
304	3440	7838
305	3449	7823
306	3459	7809
307	3469	7794
308	3479	7780
309	3489	7766
310	3503	7761
311	3512	7745
312	3522	7732
313	3532	7716
314	3541	7701
315	3551	7686
316	3560	7671
317	3570	7658
318	3580	7644
319	3591	7631
320	3604	7623
321	3615	7612
322	3625	7599
323	3635	7585
324	3645	7571
325	3655	7558
326	3666	7545
327	3675	7530
328	3685	7516
329	3694	7501
330	3705	7488
331	3714	7474
332	3724	7460
333	3737	7451
334	3747	7439
335	3761	7432
336	3772	7422
337	3782	7408
338	3792	7395
339	3803	7382
340	3815	7373
341	3829	7367
342	3838	7352
343	3847	7337
344	3857	7324
345	3867	7309
346	3876	7295
347	3886	7280
348	3895	7267
349	3905	7253
350	3916	7240
351	3925	7225
352	3934	7211
353	3943	7196
354	3953	7183
355	3964	7170
356	3974	7158
357	3985	7146
358	3996	7136
359	4012	7132
360	4023	7121
361	4035	7112
362	4046	7100
363	4055	7086
364	4066	7074
365	4076	7060
366	4085	7047
367	4095	7032
368	4104	7018
369	4114	7005
370	4124	6992
371	4134	6980
372	4145	6969
373	4157	6959
374	4167	6945
375	4177	6932
376	4187	6920
377	4197	6907
378	4208	6895
379	4220	6886
380	4231	6874
381	4240	6861
382	4253	6852
383	4264	6840
384	4275	6829
385	4284	6815
386	4294	6803
387	4304	6790
388	4314	6776
389	4324	6764
390	4334	6751
391	4344	6737
392	4353	6724
393	4363	6711
394	4373	6698
395	4383	6685
396	4393	6673
397	4403	6660
398	4412	6646
399	4423	6634
400	4432	6621
401	4444	6611
402	4457	6602
403	4466	6589
404	4476	6576
405	4486	6563
406	4495	6549
407	4505	6537
